id,firstName,lastName,age,gender,about,phoneNumber,countryCode,email,location,preference,isSponsor,createdAt,updatedAt,imageUrl,profession,score,deviceToken
U014,Priya,Jain,31,Female,,2843248224,91,jainpriya@gmail.com,Kalyan Nagar,"['Paan', 'Andhra', 'Afghan']",1,15-01-2020 07:36:28,04-05-2020 10:59:30,,Content Writer,2,213612
U015,Chunnu,Goyal,24,Male,,4146020403,91,goyalchunnu@gmail.com,Church Street,"['Paan', 'Assamese', 'Kebab', 'Roast Chicken', 'Moroccan', 'American', 'Odia', 'Singaporean', 'Burmese', 'North Indian']",1,22-02-2020 14:31:20,08-05-2020 00:22:08,,Professor,4,027880
U016,Parul,Goyal,43,Female,,2439353572,91,parul@gmail.com,Indiranagar,"['Paan', 'Naga', 'North Indian', 'Odia', 'Hot dogs', 'Burger', 'Drinks Only', 'Frozen Yogurt', 'Tibetan']",0,15-04-2020 10:58:23,06-05-2020 08:53:44,,Editor,7,280684
U017,Shreya,Gupta,36,Female,,2844500756,91,shreyagupta@gmail.com,Basavanagudi,"['Ice Cream', 'Momos', 'Lucknowi', 'Portuguese', 'Steak', 'Bengali', 'Bakery', 'Cantonese', 'Pizza']",0,01-01-2020 03:37:17,28-04-2020 15:43:04,,photographer,7,703993
U018,Mohan,Lal,38,Male,,7287383460,91,mohanlal@gmail.com,Brigade Road,"['Charcoal Chicken', 'North Eastern', 'South American', 'Burger', 'European', 'Belgian', 'Mishti', 'Spanish', 'Malwani']",1,25-02-2020 04:14:13,30-04-2020 13:33:50,,consultant,1,582317
U019,Maya,Devi,23,Female,,8697453991,91,mayadevi@gmail.com,Brookefield,"['Portuguese', 'Street Food', 'American', 'South American', 'Tibetan', 'Sushi', 'Bakery', 'Konkan', 'Steak', 'Vietnamese']",0,30-04-2020 00:58:15,26-04-2020 12:05:06,,Editor,7,450865
U020,Akhil ,Rungta,36,Male,,5923980284,91,akhilrungta@gmail.com,Basavanagudi,"['Rolls', 'Moroccan', 'Mithai', 'Mughlai']",0,18-03-2020 17:09:51,01-05-2020 17:11:05,,photographer,0,407121
U021,Nikhil,Arora,38,Male,,1968251644,91,nikhilarora@gmail.com,Brigade Road,"['Italian', 'Konkan', 'Bihari', 'Asian', 'Bohri', 'Healthy Food', 'Burger', 'Italian', 'Cafe']",0,18-01-2020 06:10:55,01-05-2020 06:42:58,,Teacher,6,643534
U022,Vashika,Arora,29,Female,,5159560246,91,vanshika@gmail.com,JP Nagar,"['Bengali', 'Street Food', 'Kerala', 'Raw Meats', 'Bakery', 'Steak', 'Korean']",1,11-04-2020 01:39:20,05-05-2020 16:33:57,,Manager ,7,107742
U023,Mushkan,Goyal,28,Female,,1225463072,91,muskan@gmail.com,Kalyan Nagar,"['Seafood', 'Burmese', 'Tibetan', 'Steak', 'Rajasthani', 'Chettinad', 'Beverages', 'Bengali', 'Raw Meats', 'Hot dogs']",0,02-02-2020 21:10:11,28-04-2020 14:08:57,,Computer operator,6,962069
U024,Aditi,Singh,32,Female,,2845551922,91,aditi@gmail.com,Jayanagar,"['Paan', 'Lebanese', 'Malaysian', 'Bihari', 'Charcoal Chicken', 'BBQ', 'Mithai', 'Mughlai']",0,21-01-2020 06:13:35,04-05-2020 11:45:16,,Editor,1,784746
U025,Dilip,Suthar,36,Male,,1313365752,91,dilip@gmail.com,Kalyan Nagar,"['Mongolian', 'Frozen Yogurt', 'Tex-Mex', 'Burmese', 'Grocery', 'Paan', 'Singaporean']",1,25-04-2020 15:57:40,21-04-2020 14:59:10,,Engineer,0,807502
U026,Divya,Garg,22,Female,,1693661628,91,vsharma@gmail.com,Kammanahalli,"['Iranian', 'Paan', 'Grocery']",0,13-04-2020 05:07:13,09-05-2020 08:12:15,,Tax analyst ,1,649961
U027,Ashmika,Bansal,41,Female,,2809226929,91,bansalashmika@gmail.com,Basavanagudi,"['Biryani', 'Continental', 'Wraps', 'Ice Cream', 'Modern Indian', 'Mithai', 'Panini', 'Indonesian', 'Afghan']",0,18-02-2020 17:39:14,23-04-2020 20:23:00,,Inspector,8,389996
U028,Deepika,Sharma,41,Female,,5512068259,91,sharmad@gmail.com,Brigade Road,"['Kerala', 'South Indian', 'Fast Food', 'American', 'Raw Meats']",0,29-04-2020 09:21:00,27-04-2020 07:45:39,,Student ,8,105114
U029,Ritik ,Raj,27,Male,,6552801801,91,rr@gmail.com,Electronic City,"['Italian', 'Konkan', 'European', 'Continental', 'Korean']",1,02-02-2020 11:33:56,28-04-2020 05:52:07,,Police,3,966035
U030,Akhil ,Aggarwal,35,Male,,7330958097,91,aa@gmail.com,Electronic City,"['Egyptian', 'Continental', 'Spanish', 'North Eastern']",0,01-02-2020 09:19:49,02-05-2020 11:28:50,,Content Writer,8,240383
U031,Bhavya,Malhotra,41,Female,,7579838581,91,bhavya@gmail.com,Indiranagar,"['Tamil', 'European', 'Awadhi', 'Raw Meats', 'Paan', 'Juices', 'Parsi', 'Gujarati', 'Middle Eastern', 'Rajasthani']",0,21-02-2020 06:04:41,21-04-2020 12:40:15,,Tax analyst ,7,265808
U032,Yash,Aggarwal,18,Male,,5567426120,91,yash@gmail.com,Bannerghatta Road,"['Wraps', 'Burger', 'Hyderabadi', 'Bihari', 'Drinks Only', 'Singaporean', 'Beverages', 'Bubble Tea', 'Chinese', 'Rolls']",0,19-03-2020 21:05:28,27-04-2020 15:23:04,,Tax analyst ,3,099652
U033,GK,Tejas,40,Male,,1355685395,91,gkt@gmail.com,Electronic City,"['Tamil', 'Kerala', 'Iranian', 'Malwani', 'Finger Food', 'Tea', 'Tea', 'European', 'Bubble Tea']",1,15-01-2020 20:35:04,01-05-2020 01:40:56,,Banker,6,436848
U034,Kiran,Jain,31,Female,,5414673351,91,kiranj@gmail.com,Banashankari,"['Charcoal Chicken', 'Rajasthani', 'Tex-Mex', 'Spanish', 'Goan']",1,30-01-2020 01:05:51,06-05-2020 03:05:27,,Police,5,056591
U035,Damini,Choudhary,27,Female,,5610262982,91,daminich@gmail.com,Church Street,"['Asian', 'Parsi', 'Mexican', 'Salad', 'European', 'Healthy Food', 'North Eastern', 'Mithai', 'Sandwich']",1,08-01-2020 08:39:26,06-05-2020 13:28:18,,Lawyer,1,644662
U036,Raghav ,Hans,27,Male,,2039736824,91,raghav@gmail.com,Kammanahalli,"['Drinks Only', 'Bohri', 'Momos', 'Middle Eastern']",1,09-02-2020 19:03:39,04-05-2020 12:04:34,,Student ,3,833530
U037,Aditi,Singh,25,Female,,4747757989,91,aditi@gmail.com,Indiranagar,"['Panini', 'Bohri', 'Greek', 'French', 'Pizza', 'Continental']",1,03-04-2020 20:24:41,02-05-2020 07:54:22,,Inspector,4,476121
U038,Tushar,Bansal,40,Male,,3167257375,91,tushar1bansal@gmail.com,Indiranagar,"['Goan', 'Gujarati', 'North Eastern', 'Paan', 'Moroccan', 'Chettinad', 'Thai', 'Italian']",0,07-04-2020 19:43:50,21-04-2020 19:31:27,,House wife,8,841389
U039,Ritika,Majumdar,43,Female,,6116090045,91,riti@gmail.com,Electronic City,"['Mediterranean', 'Hyderabadi', 'Vietnamese', 'Konkan']",0,28-01-2020 20:36:56,08-05-2020 21:05:14,,Content Writer,1,058286
U040,Aryan,Gupta,19,Male,,9753690770,91,aryang@gmail.com,Kammanahalli,"['Rolls', 'Biryani']",0,24-03-2020 14:27:07,02-05-2020 07:40:57,,Taylor,4,340068
U041,Saloni,Jain,18,Female,,7940359139,91,salonijainj@gmail.com,Church Street,"['BBQ', 'South American', 'Kashmiri', 'Bakery', 'Momos']",1,25-02-2020 06:19:14,29-04-2020 09:58:03,,Businessman,0,339796
U042,Hashit,Kumar,35,Male,,9423245727,91,harshit@gmail.com,Indiranagar,"['Beverages', 'Mexican', 'Burmese', 'Indonesian', 'Andhra', 'Lebanese', 'Sandwich', 'Peruvian', 'Indonesian']",1,18-04-2020 13:06:30,24-04-2020 04:50:26,,Manager ,3,111063
U043,Mehak,Singla,26,Female,,8579062202,91,mwhaks@gmail.com,Bannerghatta Road,"['Parsi', 'Mughlai', 'Beverages', 'Paan', 'Bihari', 'Chettinad', 'Kerala', 'Raw Meats']",1,27-01-2020 21:07:12,05-05-2020 16:08:26,,House wife,2,336230
U044,Vivek ,Jain,42,Male,,4172221587,91,vivekjain@gmail.com,Banashankari,"['Desserts', 'Hyderabadi', 'German', 'Cafe', 'Singaporean', 'Konkan', 'Odia']",1,02-02-2020 01:25:43,30-04-2020 11:50:47,,Banker,0,232745
U045,Seerat,Kapoor,31,Female,,4409932405,91,seeratkap@gmail.com,Kalyan Nagar,"['Malaysian', 'Chinese', 'Odia', 'Mughlai', 'Salad', 'Greek', 'Hot dogs', 'Odia', 'Goan', 'Singaporean']",1,16-03-2020 09:58:01,03-05-2020 20:25:37,,Self Employed,4,598743
U046,Dev,Barsaiya,37,Male,,8464059146,91,devbar@gmail.com,Bannerghatta Road,"['Mongolian', 'Sushi']",1,19-01-2020 13:01:44,01-05-2020 17:10:26,,Professor,2,913583
U047,Pooja,Prasad,33,Female,,9881020364,91,pooja@gmail.com,Frazer Town,"['Hot dogs', 'Chinese', 'Lebanese']",0,22-03-2020 12:04:35,04-05-2020 06:30:54,,Post officer,7,405162
U048,Twinkle ,Luthra,28,Female,,6419971696,91,twinkle@gmail.com,Frazer Town,"['Nepalese', 'Kebab', 'Seafood', 'Coffee', 'Hot dogs', 'African', 'Portuguese']",1,18-04-2020 15:49:54,04-05-2020 05:28:00,,Inspector,7,426452
U049,Ankit,Jain,43,Male,,4043955476,91,ankitcool@gmail.com,Kammanahalli,"['Chinese', 'Raw Meats']",1,21-03-2020 20:18:58,28-04-2020 03:25:52,,Self Employed,8,443887
U050,Mihir ,Garg,26,Male,,6633136779,91,gargmihirjain@gmail.com,Bellandur,"['Middle Eastern', 'Cafe', 'Sushi', 'Kebab', 'Andhra', 'Moroccan', 'Belgian', 'Greek', 'Thai']",0,04-01-2020 15:09:40,30-04-2020 03:53:13,,Engineer,6,347035
U051,Raman,Goyal,25,Male,,9947315060,91,ramangoyal@gmail.com,Jayanagar,"['Italian', 'Mangalorean', 'Moroccan', 'Bengali', 'Frozen Yogurt']",0,30-03-2020 05:19:46,03-05-2020 14:58:02,,Inspector,3,475583
U052,Neetu,Gupta,21,Female,,9882711631,91,neetugupta@gmail.com,Indiranagar,"['Cafe', 'Mithai', 'South American', 'Wraps', 'Sri Lankan', 'Kerala', 'BBQ', 'Gujarati', 'Lucknowi']",1,09-01-2020 18:03:43,04-05-2020 07:34:05,,Teacher,7,969083
U053,Shyam,Jain,24,Male,,6502939401,91,shyamjain@gmail.com,Frazer Town,"['South Indian', 'Odia', 'Portuguese', 'Wraps', 'Bar Food', 'Vietnamese', 'Frozen Yogurt', 'Biryani', 'Drinks Only', 'Wraps']",0,06-02-2020 17:25:37,25-04-2020 10:54:59,,Doctor,7,477503
U054,Pinky,Garg,39,Female,,7306228506,91,pinky@gmail.com,Electronic City,"['Lucknowi', 'French', 'Gujarati', 'Pizza', 'American', 'Roast Chicken']",0,12-03-2020 05:57:06,21-04-2020 15:24:11,,photographer,4,244729
U055,Jass,Dillon,35,Female,,7216166946,91,JassDillon@gmail.com,Bellandur,"['Indonesian', 'Peruvian', 'Coffee', 'Naga', 'Continental', 'American']",1,19-02-2020 16:26:00,29-04-2020 23:03:32,,Scientist,5,651708
U056,Param,Singh,43,Male,,1429285308,91,ParamSingh@gmail.com,Church Street,"['Bengali', 'Gujarati', 'Frozen Yogurt', 'Tea', 'Grocery']",1,19-01-2020 05:02:10,29-04-2020 01:04:43,,Content Writer,3,781569
U057,Jisleen,Kaur,21,Female,,7500399228,91,JisleenKaur@gmail.com,Brookefield,"['Street Food', 'Goan', 'Mexican', 'Indonesian']",1,12-02-2020 14:30:46,25-04-2020 22:24:49,,Taylor,6,292097
U058,Akshit,Gupta,22,Male,,7527371101,91,akshit@gmail.com,Bannerghatta Road,"['Seafood', 'Tibetan', 'Tex-Mex', 'American', 'Sushi', 'Continental', 'Panini', 'North Indian', 'Maharashtrian', 'Healthy Food']",0,21-04-2020 23:52:09,07-05-2020 14:40:30,,Tax analyst ,8,525593
U059,Akanksha,Arora,42,Female,,9467124839,91,akank@gmail.com,Indiranagar,"['Burmese', 'Maharashtrian', 'Biryani', 'South American', 'German', 'Vietnamese', 'Turkish', 'Wraps', 'Bar Food', 'Cafe']",1,19-04-2020 13:50:30,23-04-2020 09:35:32,,Editor,0,232512
U060,Rishab ,Mittal,35,Male,,6869195532,91,mittalRishab@gmail.com,Bellandur,"['Steak', 'Beverages', 'Tea', 'Salad', 'North Indian', 'French', 'Mexican', 'European']",0,18-03-2020 15:31:46,23-04-2020 19:42:59,,Businessman,2,390926
U061,Abhi,Yadav,29,Male,,1784764697,91,abhi_yadav@gmail.com,Brigade Road,"['Thai', 'Afghan', 'Cafe']",0,16-02-2020 15:24:57,23-04-2020 02:49:18,,Student ,7,974046
U062,Preeti,Singh,30,Female,,9008101254,91,preeti@gmail.com,Frazer Town,"['Moroccan', 'Frozen Yogurt', 'British']",1,04-05-2020 00:52:04,22-04-2020 21:28:23,,Engineer,7,241974
U063,Amit,Bansal,44,Male,,8905147993,91,amit@gmail.com,Bannerghatta Road,"['Kebab', 'Thai', 'Spanish', 'Juices', 'Indonesian', 'Australian', 'Roast Chicken']",1,12-01-2020 19:38:54,22-04-2020 01:48:09,,Businessman,7,012961
U064,Hari,Krishna,38,Male,,9429523322,91,hari@gmail.com,JP Nagar,"['Tibetan', 'Desserts']",0,09-05-2020 12:11:13,06-05-2020 04:16:19,,Accountant,3,380383
U065,Ghansham,Mittal,34,Male,,3389156747,91,ghansh@gmail.com,Kalyan Nagar,"['Drinks Only', 'Awadhi', 'Grocery', 'Italian', 'Drinks Only', 'Cantonese', 'Mithai', 'South American', 'Middle Eastern', 'Tibetan']",1,09-01-2020 13:07:15,04-05-2020 15:02:29,,Banker,0,638029
U066,Sukhmani,Devi,31,Female,,2587236109,91,sukhmani@gmail.com,Jayanagar,"['Fast Food', 'Bakery', 'Continental']",1,09-05-2020 10:02:41,24-04-2020 17:22:43,,House wife,8,851693
U067,Aarti,Kumari,37,Female,,9644601887,91,Aarti@gmail.com,Brigade Road,"['Pizza', 'Asian', 'Healthy Food', 'Rolls', 'Kebab', 'Lucknowi', 'Lebanese']",1,22-04-2020 05:58:10,25-04-2020 02:45:37,,Police,7,447359
U068,Aarti,Arora,27,Female,,7140429695,91,aroraaarti@gmail.com,Banashankari,"['Pizza', 'Bakery', 'Naga', 'Italian', 'Bubble Tea', 'Belgian', 'Chettinad', 'Paan', 'Biryani']",1,06-01-2020 16:11:50,28-04-2020 22:02:19,,Tax analyst ,7,420945
U069,Nitesh,Kadyan,36,Male,,5516871047,91,nitesh@gmail.com,Kammanahalli,"['Sandwich', 'Coffee', 'Juices', 'Momos', 'Andhra', 'Maharashtrian']",0,27-02-2020 02:14:58,07-05-2020 00:27:21,,Self Employed,1,569265
U070,Prabhat,Singh,33,Male,,3443027162,91,prabhat_singh@gmail.com,Bellandur,"['Odia', 'Steak', 'Steak', 'Mangalorean']",0,13-02-2020 01:09:49,30-04-2020 14:43:57,,Banker,1,052731
U071,Riya,Shrivastava,18,Female,,2236057818,91,riya@gmail.com,Indiranagar,"['North Eastern', 'Belgian', 'British', 'Drinks Only', 'Malaysian', 'Asian']",1,28-03-2020 05:25:09,23-04-2020 12:14:55,,Engineer,3,423565
U072,Seerat,gupta,22,Female,,2987564239,91,seerat@gmail.com,Basavanagudi,"['Sri Lankan', 'Steak']",1,02-01-2020 17:00:24,04-05-2020 16:34:52,,consultant,0,498073
U073,Anurati,Arora,43,Female,,8751519989,91,anurati@gmail.com,Banashankari,"['Hyderabadi', 'Charcoal Chicken', 'Mediterranean', 'Parsi', 'Burmese']",0,14-03-2020 08:04:26,21-04-2020 12:04:03,,Taylor,8,532476
U074,Sanjay,Singhaniya,33,Male,,2918367023,91,sanjay@gmail.com,Brigade Road,"['Paan', 'Fast Food', 'Arabian', 'Greek', 'Modern Indian']",0,03-04-2020 10:27:56,03-05-2020 06:54:49,,Professor,6,478363
U075,Ayan,Pal,20,Male,,4673507648,91,ayan@gmail.com,Indiranagar,"['Finger Food', 'Healthy Food', 'Panini', 'Portuguese']",0,25-04-2020 18:21:13,26-04-2020 23:33:38,,House wife,4,725921
U076,Krishna,Garg,41,Male,,7679131404,91,krishna@gmail.com,Basavanagudi,"['Goan', 'Italian', 'Pizza', 'Asian', 'Thai', 'Singaporean', 'Awadhi', 'Grocery']",0,27-02-2020 09:59:31,02-05-2020 13:16:39,,Student ,5,449361
U077,Manni,Jain,25,Male,,2782642312,91,manni@gmail.com,Electronic City,"['Asian', 'Australian', 'Panini', 'German', 'Vietnamese', 'Panini', 'Fast Food']",1,27-01-2020 12:26:19,03-05-2020 01:00:42,,Accountant,6,799256
U078,Aashi,Arora,44,Female,,6183583837,91,aashi@gmail.com,Electronic City,"['Paan', 'Drinks Only', 'Hot dogs', 'Indonesian', 'BBQ']",1,09-04-2020 09:31:20,21-04-2020 07:03:50,,Manager ,2,391079
U079,Nidhi,Kripa,43,Female,,7803107063,91,nidhi_kripa@gmail.com,Jayanagar,"['Andhra', 'Modern Indian', 'Konkan', 'Street Food', 'Mexican']",1,22-04-2020 15:53:36,30-04-2020 09:18:31,,Businessman,5,544341
U080,Dhana,Goyal,26,Female,,9658749435,91,dhana@gmail.com,Indiranagar,"['Peruvian', 'Continental', 'German', 'Middle Eastern', 'German']",0,31-01-2020 09:46:13,01-05-2020 07:20:04,,Businessman,7,628602
U081,Mauli,Gupta,40,Female,,7702895943,91,mauli@gmail.com,Frazer Town,"['Panini', 'Tibetan', 'Moroccan', 'South American']",1,04-03-2020 23:03:38,21-04-2020 10:51:57,,Banker,8,183760
U082,Subhendu,Kumar,27,Male,,1111994907,91,subhendu@gmail.com,Church Street,"['Bakery', 'European', 'Indonesian', 'Mexican', 'South Indian', 'British']",0,24-02-2020 23:40:36,30-04-2020 07:31:23,,Taylor,4,407185
U083,Vanshika ,Gupta,21,Female,,1547866650,91,vanshika@gmail.com,Indiranagar,"['Desserts', 'Greek', 'Continental', 'Konkan', 'Desserts', 'Korean']",0,30-04-2020 12:51:33,01-05-2020 20:39:32,,Manager ,4,049728
U084,Aryan,Singh,25,Male,,6531716786,91,aryan@gmail.com,Bellandur,"['Sindhi', 'Coffee', 'Malwani', 'Wraps', 'Belgian', 'Bohri', 'Mughlai', 'Singaporean', 'Australian']",1,06-01-2020 03:37:25,06-05-2020 02:51:16,,Computer operator,7,794581
U085,Sikha,Verma,41,Female,,8281286022,91,sikha@gmail.com,Electronic City,"['Lebanese', 'Kashmiri', 'European', 'Odia', 'Mediterranean']",1,06-05-2020 01:50:41,29-04-2020 15:39:10,,Student ,7,943452
U086,Rajeev,Verma,22,Male,,1484385762,91,rajeev@gmail.com,Electronic City,"['Kashmiri', 'Steak', 'Drinks Only', 'Cafe', 'Asian', 'Singaporean', 'Sri Lankan', 'Vietnamese']",0,18-04-2020 08:27:59,22-04-2020 21:27:15,,Lawyer,4,536490
U087,Ananya,Panday,23,Female,,4199929613,91,ananya@gmail.com,Kammanahalli,"['Odia', 'Cafe', 'Thai', 'British', 'South Indian', 'Desserts', 'British', 'Kebab']",1,30-03-2020 01:11:15,28-04-2020 10:31:12,,Inspector,0,402713
U088,Ashika,Gupta,43,Female,,8700433061,91,ashika@gmail.com,Brigade Road,"['Sushi', 'Rajasthani', 'South Indian']",1,07-01-2020 05:39:01,07-05-2020 22:04:29,,Content Writer,2,838126
U089,Amit,Kumar,37,Male,,4966089988,91,amit@gmail.com,JP Nagar,"['Rolls', 'Bihari', 'Mughlai', 'Italian', 'Continental']",0,24-03-2020 15:56:12,23-04-2020 07:20:47,,Self Employed,0,289494
U090,Narasingh,Gupta,24,Male,,2118726621,91,narasingh@gmail.com,Brookefield,"['Coffee', 'Hot dogs', 'Bubble Tea', 'Parsi', 'Moroccan']",1,10-02-2020 21:50:13,25-04-2020 04:32:49,,Student ,7,169019
